"text","class_label"
"ex cyclone debbie is bringing some bad weather where i am and so all schools in se qld are closed so i have early holidays yay a","direct_eyewitness"
"we r receiving the tail end of cyclone debbie theres lots of flooding and all schools in queensland aust have been closed the wind is wild","direct_eyewitness"
"little bit late i know cyclone debbie done messed up my town good but strim on solo arbitrator","direct_eyewitness"
"like being in the path of a train our hamilton island holiday with cyclone debbie","direct_eyewitness"
"we have had a huge drenching in our area the after effect of cyclone debbie during a break in the weather i","direct_eyewitness"
"cyclone debbie turns to sharknado as one washes up on road","direct_eyewitness"
"dont be like me stay inside please a","direct_eyewitness"
"so my umbrella just injured me when i tried to walk dudley in extropical cyclone debbie","direct_eyewitness"
"cyclone debbie got schools cancelled all over queensland for two days let the holidays begin d","direct_eyewitness"
"see all that green im somewhere under that floodwatch tcdebbie weather","direct_eyewitness"
"thanks to cyclone debbie for not only destroying my hometown but also cancelling all flights making me miss the dixiechicks concert nd","direct_eyewitness"
"cyclone debbie has just hit where i live so no school today all people in queensland please stay safe c","direct_eyewitness"
"hot tip water wrecks the door and the woodwork and your floor which itll get under if it gets under the door jam bnestorm tcdebbie","direct_eyewitness"
"delighted to be fleeing cyclone debbie on the last flight to leave for melbourne idontlikerain","direct_eyewitness"
"no school bed apartment flooding yo thanks tcdebbie","direct_eyewitness"
"oh guess what my state is being effected by the excyclone debbiethe leftover rainwind is approaching","direct_eyewitness"
"now the sky and the ocean are teaming up to kill us in australia","direct_eyewitness"
"joesugg currently stuck in the aftermath of cyclone debbie what gaming series of yours should i binge watch","direct_eyewitness"
"running into rain and wind to pick up debre had me feeling like this tcdebbie","direct_eyewitness"
"cyclone debbie has been hitting hard all day and only getting harder sandbags in place riding it out","direct_eyewitness"
"damn you cyclone debbie i cant get my groceries today","direct_eyewitness"
"cyclone debbie hitting brisbane isnt all bad just been told we dont have to go into work because its unsafe add","direct_eyewitness"
"today has been crazy sitting here in the eye of ex cyclone debbie waiting for it to pass before the winds flare up for one last blast","direct_eyewitness"
"all schools closed in se qld due to the remnants of cyclone debbie this will throw today into a bit of chaos","direct_eyewitness"
"when you get evacuated because of fucking cyclone debbie fuckdebbie","direct_eyewitness"
"wellgold coast are underwater nowa will get back to ship on next monday god bless fort golff fortegolf","direct_eyewitness"
"farmhouse in which i rode out cyclone debbie ferocious winds tore holes in walls smashed windows today it was","direct_eyewitness"
"work got canceled from the weather due to cyclone debbie my weekend starts early","direct_eyewitness"
"were getting a little wet today excyclone debbie has sent us some rain not a great day for","direct_eyewitness"
"the rain just got heavier tcdebbie debbiedoesqld","direct_eyewitness"
"sooo cyclone debbie decided to have a holiday in brisbane everything is closed thanks girl","direct_eyewitness"
"other than some rain amp what ive seen on here amp facebookwhat cycloneflooding qldpol tcdebbie","direct_eyewitness"
"ubisoftsupport its all good now cyclone debbie is gone now and the power is back on","direct_eyewitness"
"ok guys i want to keep you updated we are currently flooded in my area because of the aftermath of cyclone debbie","direct_eyewitness"
"by the way we survived cyclone debbie a bit wet but survived","direct_eyewitness"
"flight cancelled due to cyclone debbie and virginaustralia refuse to refund the flight awful customer service will never use them again","direct_eyewitness"
"school was cancelled for today and tomorrow cause of cyclone debbie hitting the east coast of qld australia yay but it was soo boring c","direct_eyewitness"
"artistabbas im in severe weather last bit of ex cyclone debbie ill do my best rt but keep losing connection still got power thoughdnd b","direct_eyewitness"
"showering after digging trenches around our home amp hoping we dont get flooded from cyclone debbie ad","direct_eyewitness"
"mulalaevalisto feeling great because as cyclone debbie is happening around my state school is cancelled and i can sleep","direct_eyewitness"
"a bit of flooding in our area in brisbane we may need an ark tonight d debbie cyclonedebbie bigwet floods","direct_eyewitness"
"australian cyclone debbie is really having us here a d","direct_eyewitness"
