"text","class_label"
"my state everybody drought fire flood hail and tornados are possible in the same space at the same time you","direct_eyewitness"
"somebody please shoot me i have been breaking my back to get all of the outside yard work done before the flood","direct_eyewitness"
"its fine its all fucking fine im just a disgusting fuck ugh things were so good and here comes the fucking flood","direct_eyewitness"
"every years we face lots of losses of crop and wealth just because of flood coming from nepal what out leaders are doing","direct_eyewitness"
"insurance in this country is a scam just got a phone call denying my claim for the house damages from the flood","direct_eyewitness"
"kristenk it sucks that it only rain for hrs and most of our heavy traffic areas are flooded","direct_eyewitness"
"the other day i was with my bf we hit high water his car started to flood and the very first thing he grabbed wi","direct_eyewitness"
"it is pouring down rain so much my yard is starting to flood and there are people outside shooting off fireworks","direct_eyewitness"
"when the ocean rise and thunders roar i will soar with you above the storm father you are king over the flood i wil","direct_eyewitness"
"i think the fact that my neighborhood was one of the lucky ones that survived this flood proves that the simulation","direct_eyewitness"
"wow my alarm rings in minutes haha thanks tho i don t wanna wade in flood and leptospirosis today","direct_eyewitness"
"okay this storm is all torrential shit basement might flood dammit my epic wicked witchy weather ways may have gone too far","direct_eyewitness"
"love how my valley natives make the best out of a flood purorgv vivalaraza","direct_eyewitness"
"were a family pulled from a flood","direct_eyewitness"
"missxoh weve had storms the past week too and been in flood warnings love it i like carl","direct_eyewitness"
"i think flood waters r rising at pennsylvania ave endisnear","direct_eyewitness"
"topherspiro joltedtoad the flood is coming but it will not be mr waters","direct_eyewitness"
"my neighborhood is still flooded what a bad time to crave whataburger patty melt anyone in edinburg with a tru","direct_eyewitness"
"intoooo the flood agaaaaain","direct_eyewitness"
"what a storm here in daltonga storm rain lightning thunder flooding stormwatchon northga","direct_eyewitness"
"football league soup breaking the months the flood i watch the world","direct_eyewitness"
"mygahd theres an ankle level flood already buti nalang mataas bahay namin sa street hello stay dry and safe everyone","direct_eyewitness"
"due to the extreme weather flash flooding and dangerous lightning combined with heavy rainfall we will not be on","direct_eyewitness"
"im good in flood situations wonder if theres anything for that","direct_eyewitness"
"crazybloxdev hicrazyblox i wanted to inform you that when i was in flood escape i tried to get into easy but it","direct_eyewitness"
"y all so i just went downstairs and there s flood in our living room oooofnsjjdis","direct_eyewitness"
"so i woke up to flood entering our house rain please stop we and our dogs are already sufferinggg","direct_eyewitness"
"our basement starting to flood has finally given us a reason to clean out the storage room","direct_eyewitness"
"the rain is so heavy and our home is almost flooded the thunderstorm outside gone wild and crazy i am so sca","direct_eyewitness"
"mouseratfan chrismuellerpgh our old office was that nd floor saw it flood like that one other time about ye","direct_eyewitness"
"missoulian if only they had built some kind of large boat in anticipation of this flood","direct_eyewitness"
"my apartment definitely might flood","direct_eyewitness"
"i low key wanted my street to flood so i can go out and chill on my tube","direct_eyewitness"
"bout done cleaning out this basement flood basement shithappens","direct_eyewitness"
"please be vigilant a flash flood watch is in effect for our area through midnight tonight","direct_eyewitness"
"ive sacrificed my back twice last year cleaning up after the terrible flood in penang ajskkakdka","direct_eyewitness"
"got trapped inside my apartment today due to heavy rain and flooding still gonna try and make the most of today tho","direct_eyewitness"
"i am in a laundromat trying to clean the flood silt out of my clothing and i just realized i ve never wanted the sw","direct_eyewitness"
"the alarm in my phone won t let me sleep we ve had non stop rain this week causing floods everywhere in souther","direct_eyewitness"
"highlight of today was throwing out sentimental stuff id kept from my dad that was ruined in the flood","direct_eyewitness"
"this flood is not gnna stop me from offing myself im abt to drown myself in the puddle wish me luck","direct_eyewitness"
"today i found out that a limited edition giacometti print was ruined in a flood in my alma mater s basement archive","direct_eyewitness"
"we watch as our young hearts fade into the flood into the flood","direct_eyewitness"
"millvale flood pittsburgh some streets are open entire neighborhood is covered in dirt silt and debris","direct_eyewitness"
"had my basement flood lost all mine and my kids personal items along with my water heater furnace and ac unit","direct_eyewitness"
"my garden is ruined from flood water redrow sent someone around and he agreed that no drainage has caused the prob","direct_eyewitness"
"our parking lot starting to flood","direct_eyewitness"
"hoarsewisperer yeahand we thought heading to the flood zone in stilettos was weird","direct_eyewitness"
"heavy rain thunder floodinghave a care out there","direct_eyewitness"
"in kerala enjoying the rain and floodpeople merged with mother naturenot blaming for flood and electr","direct_eyewitness"
"okayy mother nature maybe try not to flood my whole path torrential rain a a galway galwaybaypics","direct_eyewitness"
"what do you mean i flood your basement what does that mean","direct_eyewitness"
"the flood forced my mom to make us lunch and dinner since we cant go out and buy food and wow i missed her cooking","direct_eyewitness"
"ghostgirlgrtngs construction to fix the flood damage in our place","direct_eyewitness"
"pota my early ass is gonna be stuck in flood today im sick af orayt","direct_eyewitness"
"these muthafuckas at work have the audacity to call me in early to work during a flood i swear i m going tho","direct_eyewitness"
"heavy rain down here in south texas weather weatherchannel rain texas flooding","direct_eyewitness"
"kinjikins flood always feels like crossing a river","direct_eyewitness"
"stefanoambrogi stevencroft quite right i sit on flood and resilience boards here in the sw uk we don t have t","direct_eyewitness"
"finally getting somewhere after the flood","direct_eyewitness"
"roshayyred i know lmao i totally forgot about that though damn flood surge gone take my poor house down to the ground smh","direct_eyewitness"
"sooooo my apartment decided it wanted to flood today","direct_eyewitness"
"it was such an experience walking in or through or whatever the flood in ust but also it s scaring me cause the ger","direct_eyewitness"
"my day back home in wv flash flood watch newseattle","direct_eyewitness"
"he flood waters have drained off downtown houston","direct_eyewitness"
"jassecaps you re not in a flood zone my entire neighborhood is flooded and all the roads i take to work too","direct_eyewitness"
"this flood is bringing one positive thing at least everyone is going outside and finally meeting their neighbors for the first time","direct_eyewitness"
"the aftermath of yesterday s flood in doney park azwx flagstaff azmonsoon nwsflagstaff foxphoenix","direct_eyewitness"
"jazminuribe my store is about to flood","direct_eyewitness"
"yeah i guess you can say mother earth has a crush on me she always makes my basement flood letting me know she s wet","direct_eyewitness"
"thank u universe for the flood i finally got a day off work","direct_eyewitness"
"you d think after harvey the fuckin locals would know not to drive in the fucking flood zones","direct_eyewitness"
"after hours of flood watch the rain finally seems imminent","direct_eyewitness"
"iambrittneylamb i m trying to find the gates to heaven where the flood come from out of nowhere to","direct_eyewitness"
"it just got done raining here in my community the flood alarm wasnt triggered so mustve been just a cute sprinkle","direct_eyewitness"
"suffered from flood lost baggage fire alarm s malfunctionand more i don t have good memories in hawaii bu","direct_eyewitness"
"when you try to leave town but new orleans decided to flood the highways","direct_eyewitness"
"its am im stuck in a flash flood and i have made the perfect grilled cheese","direct_eyewitness"
"fighting flood waters have to find a way for s plaza dr to drain properly casa de color cafe in evansville in","direct_eyewitness"
"oof first day of summer brings lots of rain flooding to the chicago area","direct_eyewitness"
"my local agent is not answering my call to send me a copy of my policy as mine was damaged in the flood","direct_eyewitness"
"my new hobby is watching from my office window as thunderstorms flood burton lawn once again and making jokes about","direct_eyewitness"
"it s so funny how when there s a flood flash everybodys phone goes off","direct_eyewitness"
"so im stuck in a flash flood right now almost made it home but the driveway to my apartment building is flooded","direct_eyewitness"
"sick of waking up to these flash flood warnings","direct_eyewitness"
"the flood came inside the house now we re all stuck here","direct_eyewitness"
"noah to god yepjust flood this shit bro","direct_eyewitness"
"looking at all the flood pics from last night i now feel so fortunate to come off it unscathed yeah it was blood","direct_eyewitness"
"omfg mom woke me up with flood invading our area jesus christ its raining non stop","direct_eyewitness"
"so after that flood at my place i was pretty sure my landlord threw out my sketchbook bc he thought it was ruined","direct_eyewitness"
"lucyxiv well god did flood the earth i assume that includes dip","direct_eyewitness"
"you have got to be fucking kidding me my fucking tags were stolen while its being repaired for flood damage how t","direct_eyewitness"
"oh gosh flood im hiroshima","direct_eyewitness"
"oh now the sun wanna come out after all this heavy rain and flooding toolate","direct_eyewitness"
"fuckedchic sorry for my late response i ve been rearranging my living room thanks to the flood xxx ilove you","direct_eyewitness"
"michelle bauer gives a tour of her backyard and basement flood damage of her home on thursday morning in millvale","direct_eyewitness"
"drove by my old street trying to get to work this morning to see my old street under flood waters again stay safe","direct_eyewitness"
"simonmaloy jeremymclellan there s a flood here that s pretty bad it hasn t flooded like this since hurricane beu","direct_eyewitness"
"here in utah we have had heavy rain in the southern part of the state flash flooding has caused major destruction","direct_eyewitness"
"joshgw that pic was after a flood they walked in and found that btw","direct_eyewitness"
"the street behind my house is starting to flood for the first time in years and they have my street completely blocked off","direct_eyewitness"
"an umbrella and my feet are enough to face the storm lightning and flood just to fetch you","direct_eyewitness"
"mrsjrt luckily no one died or home got flooded lots of folks got stranded lost their car in the flood waters","direct_eyewitness"
"umm i don t have time for my street to flood again","direct_eyewitness"
"hours after the great flood of wendels manor and the living room may need a few dehumidifiers","direct_eyewitness"
"take note and keep yourself safe when cleaning up after floods","direct_eyewitness"
"do we have drinks n we have a lot of water n about the flood","direct_eyewitness"
"i love that there is a thunderstorm with flood watch going on fuck your fireworks","direct_eyewitness"
"this flood is crazy i hope the rain completely stops already c","direct_eyewitness"
"i remembered the time when i first experienced flood in taft sumugod ako sa baha while crying bc i was wearing shoes then hahah","direct_eyewitness"
"i slept through a flood anyways im going back to sleep","direct_eyewitness"
"that feeling when your autographed stevegrandmusic photo was damaged in a flood","direct_eyewitness"
"definitely feels like a floodinthebasement kind of day today","direct_eyewitness"
"how s my friday going oh you know just found out i have a blown engine in my car because i got stuck in flood waters last week","direct_eyewitness"
"okay so since bad things come in threes im waiting on the third so far weve got apartment flood flat ti","direct_eyewitness"
"stoneyybolognaa i got over likes andor retweets on a tweet during that hurricane and flooding in texas many","direct_eyewitness"
"nothing new there my building on hanley road floods all the time with heavy rain","direct_eyewitness"
