"text","class_label"
"thereformedcrow nah im gonna go with earthquake","direct_eyewitness"
"i think we just had an earthquake","direct_eyewitness"
"uhh who else felt that earthquake tho","direct_eyewitness"
"bay area just had a nice size earthquake","direct_eyewitness"
"thought my dad was fartingturns out it was an earthquake","direct_eyewitness"
"earthquake","direct_eyewitness"
"bitch was that an earthquake","direct_eyewitness"
"holy shit just felt an earthquake in the california bay area that warriors vs rockets game is intense","direct_eyewitness"
"i believe a small earthquake just happened","direct_eyewitness"
"it was jus a fxckin earthquake","direct_eyewitness"
"listening to a live podcast recording and there was an earthquake quickest way to news is to listen to live podcasts","direct_eyewitness"
"the last thing i would be wearing if that earthquake was massive was a fckn poncho","direct_eyewitness"
"first earthquake ive ever felt","direct_eyewitness"
"so it s just gone be a earthquake like right now ground just gon shake","direct_eyewitness"
"in before nearthquake n tweets","direct_eyewitness"
"am i trippin or was that an earthquake","direct_eyewitness"
"yep that was an earthquake","direct_eyewitness"
"the only time we ever had an earthquake at am on a saturday i was the only person awake for it and twitter didn","direct_eyewitness"
"lol earthquake","direct_eyewitness"
"was that an earthquake bayarea earthquake","direct_eyewitness"
"thank u twitter for letting me know im not losing my mind and that was in fact an earthquake","direct_eyewitness"
"polhomeeditor duncanm buildings first earthquake","direct_eyewitness"
"good little earthquake just now in sanfrancisco","direct_eyewitness"
"i think there was just an earthquake in sf","direct_eyewitness"
"wtf was there an earthquake or i m trippen","direct_eyewitness"
"hi friends was that an earthquake","direct_eyewitness"
"i swear there was just a mini earthquake","direct_eyewitness"
"hiredbyashley houstonrockets did you feel da earthquake","direct_eyewitness"
"i just felt the jolt did you feel the earthquake sanfrancisco bayarea","direct_eyewitness"
"hmmmeither someone is moving the building or there was just an earthquake","direct_eyewitness"
"that earthquake just scared the heck out of me","direct_eyewitness"
"checks twitter to see if it was an actual earthquake","direct_eyewitness"
"was that a fucking earthquake or am i tweaking","direct_eyewitness"
"either that was an earthquake or my house is possessed","direct_eyewitness"
"oooh little earthquake in sf pm","direct_eyewitness"
"that quake was rude i want a full ass earthquake","direct_eyewitness"
"was i the only one who just felt the earthquake","direct_eyewitness"
"earthquake just a small one","direct_eyewitness"
"that earthquake was peaceful as fuck oklahomas never gonna sink with that kind of pussy magnitude","direct_eyewitness"
"wow nice earthquake i love california alameda earthquake igetusedtoit","direct_eyewitness"
"days back in the bay and there s already an earthquake","direct_eyewitness"
"short sharp earthquake just now oakland","direct_eyewitness"
"wow that was a weird earthquake","direct_eyewitness"
"tribelaw recently posted something about that earlier whoa small earthquake here was one earlier too sorry","direct_eyewitness"
"anyone just feel that small earthquake in japantownpac heights","direct_eyewitness"
"ok so i didnt just hallucinate that earthquake think a truck hit my building","direct_eyewitness"
"earthquake sf felt like maybe a","direct_eyewitness"
"oouuu earthquake","direct_eyewitness"
"scary earthquake","direct_eyewitness"
"minor earthquake felt in the east bay stronger elsewhere","direct_eyewitness"
"mini earthquake","direct_eyewitness"
"earthquake wheee","direct_eyewitness"
"was there just an earthquake in san francisco or was only my apartment shaking","direct_eyewitness"
"that little weak ass earthquake","direct_eyewitness"
"that earthquake felt terrible","direct_eyewitness"
"y all experienced that earthquake too","direct_eyewitness"
"ok who felt that earthquake tho","direct_eyewitness"
"it was like a double tap earthquake in berkeley","direct_eyewitness"
"did we just have an earthquake concord earthquake","direct_eyewitness"
"every time i feel an earthquake i check twitter to make sure that it was real lol","direct_eyewitness"
"was that an earthquake lmao","direct_eyewitness"
"i knew an earthquake was coming sooner than later amp boom dere it go","direct_eyewitness"
"did i just feel a small earthquake here in sf","direct_eyewitness"
"omg an earthquake happened","direct_eyewitness"
"not to be that person but omg earthquake spooky","direct_eyewitness"
"another earthquake big jolt for one second","direct_eyewitness"
"there was just an earthquake i m already on edge from this game you trying to kill me mother nature","direct_eyewitness"
"mf earthquake","direct_eyewitness"
"i thought that the earthquake was my dog moving on my bed","direct_eyewitness"
"every time there s an earthquake i think it s the big one","direct_eyewitness"
"was that an earthquake","direct_eyewitness"
"oops san francisco earthquake i felt something","direct_eyewitness"
"just felt an earthquake so of course i jumped on twitter to see who else was reporting it","direct_eyewitness"
"was that an earthquake","direct_eyewitness"
"goodtimenation right i feel it started when i was doing school drills when until then i d only done earthquake","direct_eyewitness"
"wow i just thought an earthquake into existence my mind is so powerful ugh","direct_eyewitness"
"earthquake","direct_eyewitness"
"feeling the effects of an earthquake","direct_eyewitness"
"was that a earthquake","direct_eyewitness"
"oof that earthquake","direct_eyewitness"
"earthquake","direct_eyewitness"
"there was an earthquake","direct_eyewitness"
"little earthquake in sf definitely felt it in the castro","direct_eyewitness"
"who felt tht earthquakei swear i thought my niece was up to something smfh","direct_eyewitness"
"bruh please tell me someone else felt that earthquake","direct_eyewitness"
"another day another earthquake","direct_eyewitness"
"definitely wondered if it was my upstairs neighbors but it was an earthquake","direct_eyewitness"
"dang earthquake","direct_eyewitness"
"this is the th felt earthquake in czech republic in the last hours","direct_eyewitness"
"was it just a earthquake in the city","direct_eyewitness"
"how dare this rude earthquake disturb my darling sleeping dog","direct_eyewitness"
"i thought someone was tryna break into my house but no it was an earthquake","direct_eyewitness"
"there was a mini earthquake","direct_eyewitness"
"that was an earthquake in berkeley right","direct_eyewitness"
"ummm there s either an obese ghost walking in my house or there was just an earthquake i d appreciate if the ghos","direct_eyewitness"
"thank u earthquake for waking me up at am","direct_eyewitness"
"ok who felt that earthquake in sf just now","direct_eyewitness"
"uh was there just an earthquake","direct_eyewitness"
"did you feel it earthquake","direct_eyewitness"
"confirming earthquake by searching twitter for earthquake","direct_eyewitness"
"woohoo earthquake","direct_eyewitness"
"was that another fucking earthquake","direct_eyewitness"
"just felt an earthquake in sf who else felt it","direct_eyewitness"
"big earthquake oakland","direct_eyewitness"
"earthquake i m first","direct_eyewitness"
"hello mr earthquake","direct_eyewitness"
"fuckin earthquake","direct_eyewitness"
"just had an earthquake here in the east bay","direct_eyewitness"
"hullo here for the earthquake tweet","direct_eyewitness"
"that earthquake scared the crap out of me i was knocked out feces","direct_eyewitness"
"am i trippin or was that an earthquake","direct_eyewitness"
"woops pretty sure that was an earthquake bets on eastbayquake","direct_eyewitness"
"i asked my dad if he felt that earthquake amp he didn t thought i was trippin then i saw seven tweets bout it","direct_eyewitness"
"pretty good earthquake just now","direct_eyewitness"
"earthquake wtf was that","direct_eyewitness"
"that was a long earthquake","direct_eyewitness"
"so did anyone else in the bay feel that earthquake","direct_eyewitness"
"definitely just had an earthquake out here in daly city","direct_eyewitness"
"omg earthquake i hate earthquakes im always scared and think oh this is the one","direct_eyewitness"
"my mom foreal made me turn down the tv to see if she could hear the mf earthquake","direct_eyewitness"
"felt that one earthquake","direct_eyewitness"
"chrisrdem omg i wasn t sure if it was an earthquake or if i just opened my door too forcefully glad you confirmed","direct_eyewitness"
"did anyone feel that earthquake","direct_eyewitness"
"earthquake or i m trippin nd","direct_eyewitness"
"definitely felt that one near temescal oakland earthquake","direct_eyewitness"
"that earthquake really woke up me amp nia whole game up while on ft lmaoooo","direct_eyewitness"
"so a mini earthquake just happened","direct_eyewitness"
"obligatory earthquake tweet","direct_eyewitness"
"oh shit earthquake","direct_eyewitness"
"was that a earthquake","direct_eyewitness"
"small earthquake just now","direct_eyewitness"
"earthquake sanfrancisco thewestbay thesunset earthquake","direct_eyewitness"
"yoo wtf a earthquake ad","direct_eyewitness"
"that nwtf n moment when an earthquake starts earthquake","direct_eyewitness"
"earthquake tweet","direct_eyewitness"
"ummmm earthquake","direct_eyewitness"
"i missed the earthquake cause i thought it was the kids lmao","direct_eyewitness"
"was than an earthquake","direct_eyewitness"
"im on bart amp we just stopped because the operator said we had an earthquake cool","direct_eyewitness"
"oh ok earthquake","direct_eyewitness"
"just had an earthquake","direct_eyewitness"
"that earthquake was random as fuck","direct_eyewitness"
"ok earthquake","direct_eyewitness"
"that earthquake was short but strong","direct_eyewitness"
"oakland just had an earthquake","direct_eyewitness"
"wew an earthquake","direct_eyewitness"
"minding my business and boom the whole house starts shaking that earthquake scared tf outta me","direct_eyewitness"
"oh hello earthquake sf","direct_eyewitness"
"as if my blood pressure wasnt high enough halftime earthquake action","direct_eyewitness"
"anybody else feel that earthquake","direct_eyewitness"
"nice lil earthquakesolid size","direct_eyewitness"
"seriously it was an earthquake but i thought i was seizing yaaay","direct_eyewitness"
"oh good an earthquake","direct_eyewitness"
"waits for my friends to ask are you ok lmao earthquake and the ones around here did you feel that","direct_eyewitness"
"pretty sure i just experienced my first earthquake","direct_eyewitness"
"feel that earthquake","direct_eyewitness"
"the cat looked at me i looked back and shrugged and she went back to sleep earthquake","direct_eyewitness"
"nthis is it nos vamos a la verga nmy uncle during the earthquake","direct_eyewitness"
"it was just an fuccin earthquake","direct_eyewitness"
"huh an extremely minor earthquake","direct_eyewitness"
"wow that felt bigish earthquake","direct_eyewitness"
"i knoooooow somebody just felt that earthquake i m not bugging","direct_eyewitness"
"yall felt that earthquake right","direct_eyewitness"
"pretty intense earthquake just now big jolt","direct_eyewitness"
"this was for the earthquake","direct_eyewitness"
"woof that was a fun lil earthquake sf my cats are terrified","direct_eyewitness"
"either somebody big ass just shook this building by or we just had an earthquake","direct_eyewitness"
"either somebody big ass just shook the building or we just had an earthquake","direct_eyewitness"
"hello i just felt my first san francisco earthquake i ve been waiting for it since i moved here omg","direct_eyewitness"
"i think there was just an earthquake","direct_eyewitness"
"fatttttt earthquake in oakland","direct_eyewitness"
"fuck you earthquake","direct_eyewitness"
"lil earthquake","direct_eyewitness"
"there was a small earthquake in sf its over for us","direct_eyewitness"
"the earthquake is probably just sf getting excited for the nd half","direct_eyewitness"
"was that an earthquake berkeley","direct_eyewitness"
"um excuse me did i feel an earthquake or am i imagining it","direct_eyewitness"
"anyone feel the earthquake that just happened","direct_eyewitness"
"woo now that was a good little earthquake","direct_eyewitness"
"sitting on my porch and just felt an earthquake","direct_eyewitness"
"at this same hour was there a great earthquake and the tenth part of the city fell and in the earthquake were sla","direct_eyewitness"
"time to tweet about the earthquake in the bayarea","direct_eyewitness"
"well that was an earthquake","direct_eyewitness"
"whoa that earthquake just literally slammed my whole apartment like i swear it felt like hulk just smashed into my wall oh my gosh","direct_eyewitness"
"i m eating my food watching the game big chillin and there s a random ass earthquakemother nature dgaf bout the","direct_eyewitness"
"that earthquake just messed with my head whoa","direct_eyewitness"
"hardly an earthquake","direct_eyewitness"
"anyone else in oakland or nearby feel that earthquake","direct_eyewitness"
"apparently i just missed an earthquake in san francisco im so homesick","direct_eyewitness"
"i was awake for this earthquake and i still ain t feel it","direct_eyewitness"
"was there just a small earthquake in san francisco or am i going insane looked out my window and everyone is walki","direct_eyewitness"
"literally shook earthquake","direct_eyewitness"
"i just felt an earthquake","direct_eyewitness"
"reporting in for earthquake twitter","direct_eyewitness"
"bro we just had an earthquake","direct_eyewitness"
"was that the earthquake lol","direct_eyewitness"
"my sister and i looked at each other like seconds before the actual earthquake came like its coming lol","direct_eyewitness"
"earthquake twitter hello","direct_eyewitness"
"hello earthquake","direct_eyewitness"
"that earthquake scared tf out of me omg","direct_eyewitness"
"definitely just felt another earthquake lol bayarea","direct_eyewitness"
"yall felt that earthquake","direct_eyewitness"
"i told my sister were having an earthquake and she was like no thats just our washer like wtf","direct_eyewitness"
"who felt that earthquake","direct_eyewitness"
"mini earthquake hello","direct_eyewitness"
"my first earthquake did not help my phobia","direct_eyewitness"
"dat earthquake","direct_eyewitness"
"thank god we are safe earthquake","direct_eyewitness"
"wait i m so confused did we just have an earthquake","direct_eyewitness"
