"text","class_label"
"damn this canadian wildfire got the whole city smelling like a bonfire","direct_eyewitness"
"devastating to see such widespread destruction anywhere but when youre close enough to see and smell the smoke i","direct_eyewitness"
"sonoma county is covered in heavy thick black smoke yet want us to go back to class tomorrow i think not","direct_eyewitness"
"day of the wildfire day of being evacuated from my home we are still holding on im starting to break a bit prayforrain ymmfire","direct_eyewitness"
"i guess the smoke from the wildfires here in california is making for an epic sunset tonight","direct_eyewitness"
"massive wildfire in alberta is creating a lot of smoke and haze downwind see for yourself","direct_eyewitness"
"this is what is happening near me there was ashes coming down from the sky yesterday and still more smoke is cov","direct_eyewitness"
"so sad i drove to the east bay today and the smoke is everywhere","direct_eyewitness"
"oh wow canadian wildfire smoke has just settled over minneapolis","direct_eyewitness"
"thats crazy it was ash coming from the sky yesterday and smoke had covered the sun turning everything orange","direct_eyewitness"
"just biked an hour home in this stuff pretty thick smoke","direct_eyewitness"
"i was born in fort st john moved to vancover at my hometown is indangered moving bc wildfire","direct_eyewitness"
"be aware of the potential smelling smoke this morning across northern iowa iawx","direct_eyewitness"
"no fire for miles but plenty of smoke sunset in northern california","direct_eyewitness"
"guys this isn t even funny like my whole campus looks foggy but it s all just smoke it s insane","direct_eyewitness"
"i live hours from fort mac and i m seeing smoke down here this wildfire is scary as heck","direct_eyewitness"
"fort mcmurray wildfire smoke seen from visible imagery loop today ymmfire","direct_eyewitness"
"i was just in santa rosa ca two weeks ago so devastating","direct_eyewitness"
"im having like allergies or some shit from the smoke from the fire thanks for burning up california","direct_eyewitness"
"we got ash and thick smoke outside california is all on fire d","direct_eyewitness"
"damn you carbon why did you have to set canada on fire why did our climate have to burn it all down","direct_eyewitness"
"the smoke is from the northern california wildfires the eastern slope of the diablo range from about","direct_eyewitness"
"walikng outside with these smoke fumes from the wildfire make me smell like a toasty bonfire","direct_eyewitness"
"i literally drove from la yesterday morning f e omg and i get back home amp everything else is on fire omg pray fo","direct_eyewitness"
"just took dogs out the smell amp look of smoke outside is like someone is having a bonfire next door but its from a northern mn wildfire","direct_eyewitness"
"all the smoke has come up here to the north valley ugh feeling bad for those losing everything","direct_eyewitness"
"smokey california sunset too bad its all on fire a","direct_eyewitness"
"it was literally raining sparks it must have been terrifying driving through that","direct_eyewitness"
"the air in berkeley was hazy today from the smoke i can t even imagine the devastation my heart hurts for these v","direct_eyewitness"
"smoke reached sf made for a really muggy and eerie morning","direct_eyewitness"
"beautiful sunrise through the haze of wildfire smoke","direct_eyewitness"
"escaping a wildfire in a convoy","direct_eyewitness"
"just in case yall havent heard california is on fire even in oakland were literally inhaling and driving through clouds of smoke","direct_eyewitness"
"looked over the bay amp knew it wasn t karlthefog this time never seen so much smoke engulf sf redcross doing gre","direct_eyewitness"
"is there a wildfire in mn so much smoke","direct_eyewitness"
"did you smell the smoke too it was so hard to breathe leaving work tonight","direct_eyewitness"
"those smoke clouds are over my house now","direct_eyewitness"
"im near the one down south im so tired of shit being on fire here","direct_eyewitness"
"am i finally unstuffed enough to smell the canadian wildfire or am i just hallucinating smoke smell","direct_eyewitness"
"heres why it got so smokey at the surface tonight smells like youre sitting at a bonfire out there","direct_eyewitness"
"this was the scariest thing ive ever been through amp i cant watch this without tears the town we love is gone","direct_eyewitness"
"disneyland looks terrifying as wildfires tear through california news","direct_eyewitness"
"we drove through the smoke of one of these wildfires just last week up glacier point road it had been burning sin","direct_eyewitness"
"as someone who used to do wildfire suppression when some mention a location as x complex complex means out of control weather creator","direct_eyewitness"
"its so smokey outside","direct_eyewitness"
"this monster wildfire in canada is now bigger than new york city ymmfire fortmacfire albertastrong","direct_eyewitness"
"that wildfire in canada does look quite severe","direct_eyewitness"
"i was in alberta three weeks ago wildfire smoke caused issues on one part of the highway but i cant imagine what its like now scary","direct_eyewitness"
"therealkripke fort mcmurray ab canada is burning down due to outofcontrol wildfire we need helpsupport plz savefortmac","direct_eyewitness"
"im having like allergies or some shit from the smoke from the fire thanks for burning up california ndnd c n ac c","direct_eyewitness"
"just in case yall havent heard california is on fire even in oakland were literally inhaling and driving through clouds of smoke","direct_eyewitness"
"it is so crazy to see and the smell is quite strong wildfire","direct_eyewitness"
"wow didnt realize the smoke would travel so far","direct_eyewitness"
"so much canadian wildfire smoke in the air rn dont open ur windows unless u want ur house to smell like a campfire","direct_eyewitness"
"all that smoke in billings is coming from canadian wildfire should clear out later today","direct_eyewitness"
"smoke from fortmacfire making it to ga abc","direct_eyewitness"
"hazy skies and fiery red sunsets due to canadian wildfire smoke drifting overhead may even smell the smoke","direct_eyewitness"
"oh nice we have canada wildfire smoke here this owns","direct_eyewitness"
"thick smoke everywhere up here from canadas wildfire insane in the membrane","direct_eyewitness"
"i dont know if i should keep my windows open like its hot in the building but the smoke from the wildfire is burning my nose and eyes","direct_eyewitness"
"yes this is a fire yes this is all fire smoke n napavalley napafire napa california","direct_eyewitness"
"its kinda hard to see but that orange spot in the middle is a wildfire about miles from my house","direct_eyewitness"
"its almost like there was a wildfire somewhere","direct_eyewitness"
"ugh massive amounts of smoke in the air today blowing in from canada thanks canada wildfire","direct_eyewitness"
"smelling smoke in the twin cities tonight a wildfire near lake hattie in northern mn is to blame","direct_eyewitness"
"wow look at that smoke in the air worst i ever seen it in the valley itself all of northern california is on fi","direct_eyewitness"
"you could feel the heat on the back of your neck global news reporter on fort mcmurray wildfire d","direct_eyewitness"
"they called it a beast i understand why unbelievable how high the flames are","direct_eyewitness"
"actuallybad here unclechaps venmo is open for the victims of the fire people here need it","direct_eyewitness"
"smells alot like burning canadian forests outside wildfire minnesota","direct_eyewitness"
"the red line shows the path of the smoke from the lake hattie wildfire in northern mnaimed right at the metro","direct_eyewitness"
"its crazy thick smoke outside not sure a family run is in our future this am","direct_eyewitness"
"these wildfires are crazy california has a thick layer of smoke clear across the valley dcaliforniawildfires weneedrain","direct_eyewitness"
"i cant tell if its cloudy or its the smoke from the alberta wildfire","direct_eyewitness"
"its like beijing over here in minneapolis right now wtf smog wildfire shittyairquality","direct_eyewitness"
"the fort mcmurray wildfire continues to burn a heres whats going on via digg","direct_eyewitness"
"so the smoke from the canadian wildfire has reached my city","direct_eyewitness"
"oh wow that canadian wildfire hundreds of miles away is honestly making tonight smoky and smoggy you can smell the smoke outside","direct_eyewitness"
"nice and smoky out here smells like a nice camp fire outside","direct_eyewitness"
"i cant even believe this is happening what a nightmare","direct_eyewitness"
"it seems the fires will burn forever","direct_eyewitness"
"i just had to evacuate my home in california due to the wildfire obviously i took the essentials","direct_eyewitness"
"good afternoon we are near heart of the wildfire zone in southern california disneyland all the smoke","direct_eyewitness"
"having grown up around wildfires i know how terrifying they can be the smoke clouds often look like nukes going off wildfire","direct_eyewitness"
"smoke in lights here at the nws officepretty smelly as well this smoke is from the wildfire up in lake hattie mn","direct_eyewitness"
"yesterday this was literally the sky outside my housescary man","direct_eyewitness"
"i dont think ive seen a wildfire as horrid as canada right now it looks like armageddon out there hoping everyone in alberta are safe","direct_eyewitness"
"raining embers from a fierce wildfire and heavy smoke while stuck in slow moving traffic is some horrifying sht pray for canada","direct_eyewitness"
"thats crazy it was ash coming from the sky yesterday and smoke had covered the sun turning everything orange","direct_eyewitness"
"on the way up north through iron range the smoke from babbitt and hout lake wildfire is thick guy in target in viginia said k evacuated","direct_eyewitness"
"outside right now albertafire smoke minnesota minneapolis wildfire","direct_eyewitness"
"all you see is red flames state of emergency as wildfire rages in alberta","direct_eyewitness"
"california is on fire we need help","direct_eyewitness"
"this is just a devastating situation this photo you could smell smoke midpeninsula this am","direct_eyewitness"
"drove home this morning an all i smelt was that wildfire in canada shit is crazy","direct_eyewitness"
"that is not fog it is unhealthy wildfire smoke at on kstp jyuhaskstp will tell us if winds will blow it away","direct_eyewitness"
"damn this canadian wildfire got the whole city smelling like a bonfire lolbs","direct_eyewitness"
"all the smoke and the awful smell from the canadian wildfire","direct_eyewitness"
"smokey sunrise due to the lake hattie wildfire","direct_eyewitness"
"its crazy a wildfire in canada is causing all this smoke d","direct_eyewitness"
"these ain t the trees that are supposed to be burning out there get well soon calid","direct_eyewitness"
"thats it ive seen enough im protesting fire boycottfire no seriously ive been through wildfires in","direct_eyewitness"
"it smells like a canadian wildfire outside","direct_eyewitness"
"we drove through the smoke of one of these wildfires just last week up glacier point road it had been burning sin","direct_eyewitness"
"smell smoke youre not crazy nw winds directing it in from a wildfire amp making air quality very unhealthy mnwx","direct_eyewitness"
"the wildfire smoke is so bad i couldnt even see the mpls skyline until th amp hiawatha cc nwstwincities morningwxguy","direct_eyewitness"
"would explain why i smell smoke outside","direct_eyewitness"
"hoe california on fire i cant even breathe","direct_eyewitness"
"smoke gets in your eyes theplatters sonoma wildfire aching heart san francisco california","direct_eyewitness"
"this wildfire smoke from canada is terrible a c","direct_eyewitness"
"i joke about california being on fire because there was a ton of smoke where it wasnt on fire today and it felt like the apocalypse","direct_eyewitness"
"getting hard to breath outside with the smoke in the air d so keep ya windows closed and be safe f c","direct_eyewitness"
"the fact that canadian wildfire smoke has reached minnesota and i can smell it is beyond mind blowing and scary af nd","direct_eyewitness"
"feeling pretty sad about the fact that the day i arrive in las vegas everyone gets shot and the day i arrive in california it goes on fire","direct_eyewitness"
"and the wildfire smoke has arrived holy crap i can barely see across the lake air quality got crazy bad just now like cigar smoke","direct_eyewitness"
"plenty of smoke and a hazy horizon were taking a flight over northern california to see the dama","direct_eyewitness"
"daveevad wildfire cant see across the street this montana morning smoke from albertawildfires gonna get much worse pinebeetle bailey","direct_eyewitness"
"leave my cats in a huge wildfire nope them or leave everything i own ok bye stuff my birth certificate vs pet bond is an easy decision","direct_eyewitness"
"its insane that you can see smoke from the canadian wildfire all the way down in atlanta","direct_eyewitness"
"the smoke from this wildfire in hoyt lakes is all the way down past shoreview crazy","direct_eyewitness"
"danbarreirokfan the sky is not right in ep and it smells so bad could this be fallout from the wildfire in canada","direct_eyewitness"
"lizziejohnsonnn started running down street as fire enroachedluckily truck drove bypicked them up or they prob","direct_eyewitness"
"htc wildfire mutable segmental phoneme inanimate astride do to considering you job malleable knock cold ojqftj","dont_know"
"ill be tuning in to listen","dont_know"
"cool just what my asthma wanted","dont_know"
"ab wildfire chad morrison update now","dont_know"
"mckenna wildfire","dont_know"
"seriously it smells like my shirt is on fire","dont_know"
"a more pointed question would be why more people dont suffer in this spoiled amp wicked world thewallholds fornow","dont_know"
"oh my god","dont_know"
"i would gladly take a ft mcmurraystyle wildfire in my town over an hrc establishment president any day of the week jiadarola","dont_know"
"omg omg","dont_know"
"vardisrocks cant wait to share the stage with you guys at wildfire third band i ever saw back in with slade cheers tombstone m","dont_know"
"i feel like canada is like a mother for us with its tenderness and love","dont_know"
"chad morrison alberta wildfire hectares in size","dont_know"
"wow disney is killing it with the spooks","dont_know"
"travel advisory","dont_know"
"interesting look at orangecounty disneyparks","dont_know"
"trump is willing to help only those that can help him prs pay taxes but cant vote so theyre of no use to him","dont_know"
"paper towels for everyone in a few weeks","dont_know"
"must have been one mighty angry cow that caused it","dont_know"
"no fucken shit no one cares what trump has to say about this for all he cares the whole state can burn fuck him","dont_know"
"god have mercy","dont_know"
"this is common fucking sense you do not leave your pet your family in a raging wildfire and just expect that some fucks will come get them","dont_know"
"oh my god","dont_know"
"check out this article from weatherchannel ihavedragons firedancer lfkraus d d dead missing f d","dont_know"
"abc news glad he got around to this disaster before end of day first order of business this a m talk about espn r","dont_know"
"i know it must hurt trump to do anything for california because ya know they didn t vote for him","dont_know"
"trump wants sell land and oil rights in alaska to foreigners amp big corps lisamurkowski stand up against trump pre","dont_know"
"retweeted dylan park dyllyp puerto rico is still without power california is on fire nazis are marching in","dont_know"
"come onnnn","dont_know"
"cool story bro","dont_know"
"spent a third of there food stamps","dont_know"
"pense was there but it was for a fund raiser did he mention help for the fires bet not","dont_know"
"when i get my makeup right i might as well take a selfie d d ab fire a santa monica california","dont_know"
"i think ive cried tears this week my heart in pieces prayers for fortmacfire ymm ymmfire","dont_know"
"good story resilience and quiet sense of duty ymmfire","dont_know"
"i am sadly hoping that our next national headline stealer will be this turd s demiseby any means fall in a we","dont_know"
