text,label
Masiii rumah nenek aku msh banjir,eyewitness
Kelantan dan terengganu dah banjir,eyewitness
Depan rumah dh banjir Huhu ,eyewitness
Mantap banjir lagi ,eyewitness
Rumah aku x banjir,eyewitness
ayuh main banjir haaha,eyewitness
Banjir sis,eyewitness
ini Cipinang banjir,eyewitness
banjir dong ,eyewitness
ni punca banjir mungkin,eyewitness
Banjir dah kapung bosku,eyewitness
Pata timu dah mula banjir ka,eyewitness
Banjir selutut orang dewasa,eyewitness
Wih banjir an,eyewitness
tiati banjir,eyewitness
Hujan jugaa banjiiir jugaa,eyewitness
BANJIR WOE BANJIR,eyewitness
Masih banjir ,eyewitness
Banjir dh gais,eyewitness
Jangan banjir lagi aku nk balik cemana,eyewitness
Hujan lebat gais banjir disini huhu,eyewitness
Banjir woiiii Hujan tak berhenti dari semalam ,eyewitness
Uih kampung aku dah banjir ,eyewitness
Banjir karena hujan deres kagak berhentj berhenti,eyewitness
Banjir sudahhhh,eyewitness
rumah dah banjir geng,eyewitness
 baru selesai beresin banjir,eyewitness
hahahahah banjir dh gang ni,eyewitness
Banjir datang lagi ,eyewitness
Banjir banjir banjirr ,eyewitness
Alhamdulillah bantuan banjir dah ada,eyewitness
Banjir sudah banjir,eyewitness
Lagi musim hujan dan sekarang banjir,eyewitness
Malang banjir ,eyewitness
Ujannya baru berapa jam udah banjir aja Cepet amat banjirnya ,eyewitness
Terjebak banjir di timur stadion maguwo ,eyewitness
Alamak Kampung dh banjir ,eyewitness
Orang lain keluar dari area banjir saya otw masuk kawasan banjir,eyewitness
Depan rumah pun banjir gimana inih,eyewitness
Anjir banjir lagi,eyewitness
Hm kmpung dah start banjir dh,eyewitness
tempat saya banjir jakarta babay min,eyewitness
disini masih banjir ka,eyewitness
Nah kalo kosan banjir gini kan enak Jadi ada kerjaan gitu daripada tidur,eyewitness
Takutnya banjir ,eyewitness
Lah kok banjir ,eyewitness
jadi korban banjir,eyewitness
Yak rumah banjir,eyewitness
banjir di jakarta,eyewitness
Banjir mba di kandang rusa itulo udah segitu huhu,eyewitness
ngepel kamar yang banjir ,eyewitness
BANJIR KITA BANJIR SUDAH,eyewitness
Tangerang banjir,eyewitness
Kan banjir trus liwat mane ,eyewitness
Banjir wooooiii,eyewitness
Margonda banjir pak,eyewitness
Siang panas malam banjir ,eyewitness
oalah tiati banjir,eyewitness
Yuhuuu udah banjir lagi aja nih perum,eyewitness
Banjir Udah Heheheh,eyewitness
ciledug banjir,eyewitness
Iya jir awet pada banjir jalanan Untung rumah gua ga ,eyewitness
Nggak enak Kena banjir ,eyewitness
Selamat tahun baru kepada aku yg menangani banjir kontrakan di pagi hari,eyewitness
banjir mlh,eyewitness
Baru kali ini ujan semaleman trs banjir Udah masuk ke rumah ,eyewitness
Pdhl lagi banjir,eyewitness
Hujannya awet banget Rumah kena banjir,eyewitness
Mantappp awal tahun banjir cok,eyewitness
Beberes rumah kerendem banjir,eyewitness
Banjir bray,eyewitness
Banjir ,eyewitness
Kost banjir fyi,eyewitness
Yak tahun baru diwarnai dengan banjir terparah sepanjang sejarah rumah,eyewitness
Kalo banjir sampe seperut gini nyalahin siapa y ,eyewitness
Tetap nge bid walau banjir seleher ,eyewitness
pamulang udh mulai banjir di jalanannya bg ene moga ga masuk rumah ya ,eyewitness
Iyaa udah banjir malahan,eyewitness
RUMAH GUE UDAH BANJIR,eyewitness
Semoga baik aja yang kena banjir,eyewitness
Sama nder lg banjir jg,eyewitness
Banjir banjir ulala,eyewitness
Aku dicikarang banjir,eyewitness
Bersihin rumah dari banjir min,eyewitness
Gimana mau berangkat ini kalo dimana banjir,eyewitness
Woi balik lu ponbar belakang banjir daleman tuh ,eyewitness
Banjir banjir banjir datang lagi sayang ,eyewitness
woy ini banjir,eyewitness
Oke ternyata realisasi nya lebih liar depan kosan udah banjir ,eyewitness
yaallah pagi baru bangun kaget rumah tiba udh mau kemasukan air banjir,eyewitness
Ini semuanya pada apdet banjir meanwhile di sini ngga ujan samsek bruuh ,eyewitness
BANJIR POKOKNYAAA WKWKW,eyewitness
jalan raya banjir,eyewitness
Udh banjir mati lampu pula ,eyewitness
Hujan deras banjir mati lampu pula,eyewitness
Alhamdulillah kita dikasih ngerasain banjir diawal taun,eyewitness
ya allah semoga tidak banjir ,eyewitness
gabisa nonton rumah banjir coy sedi bat,eyewitness
Pusing anj banjir,eyewitness
Banjir ,eyewitness
Banjir bangetttt ini masuk rumah,eyewitness
 om om tolong ini banjir,eyewitness
Ujannya makin gede njir Banjir ,eyewitness
banjir u jgn berenang y ra,eyewitness
wedeh jekardah banjir,eyewitness
Banjir dong depan rumag gua ujan dari kmrn sore gua tidur kebocoran,eyewitness
Tahun baruku di sambut oleh banjir,eyewitness
Belom tidur ehh malah banjir perumahan gue Terus aing kudu piye ,eyewitness
Ujannya kaya gini sih jakarta auto banjir,eyewitness
Aamin rumahku juga banjir ,eyewitness
Semoga lekas surut banjir airnya yaak,eyewitness
Semoga hujan cepat reda dan banjir cepat suruh ,eyewitness
BANJIR LAGI DAH WKWKWKW,eyewitness
Wkwkwkwk belom tidur ni grgr banjir,eyewitness
nih jekardah banjir,eyewitness
Lah kamar gue banjir,eyewitness
Scratch that ga jadi kerja gara gara banjir,eyewitness
banjir sumpa,eyewitness
Rumah gue bekasi timur banjir bandang,eyewitness
YUMMM RUMAH GUE KEMASUKAN BANJIR pdhl biasanya engga hujan di sana awet bgt ga sih,eyewitness
Waaahh banjir juga ,eyewitness
Mengawali tahun baru dengan banjir,eyewitness
rumah gue banjir,eyewitness
banjirrrr banjir btw dingin ya ,eyewitness
waduhh waduhh banjir dah nihh banjirr dahhh,eyewitness
Pertama kali merasakan banjir Jakarta Tahun ,eyewitness
Daerah rumah gua banjir ,eyewitness
banjir gais,eyewitness
banjir didepan udah meter ya Allah ,eyewitness
Paraahhh banjir parah,eyewitness
Banjir pak,eyewitness
Rumah gw banjir asu ,eyewitness
 banjir gini kepikiran nasi uduk jadi laper ,eyewitness
banjir gaesss ,eyewitness
rumah aku uda kemasukan banjir tinggi bgt soalnya grgr ujan gaberenti huee,eyewitness
Jadi hujan yang menyebabkan banjir sekarang adalah yang terburuk setelah lebih dari tahun lalu ,eyewitness
Bekasi banjir dimana mana hiks,eyewitness
bli banjir bli disini,eyewitness
eh eh eh kok mulai banjir lagi sih dimana mana ,eyewitness
Kali kayuringin banjir para gais jadinya macem gor gitu gitu tenggelem se pinggang,eyewitness
Hujan deras mengakibatkan banjir ,eyewitness
kerumah gw aja gratis mumpung lgi banjir,eyewitness
Banjir sis ,eyewitness
Korban banjir di awal tahun malah banyak ya termasuk rumah ini,eyewitness
Rumahku banjir rumah kalian banjir gk nih ,eyewitness
Wew bangun depan rumah banjir mati lampu,eyewitness
kenapa banjir sih,eyewitness
Ya Allah semoga daerah kosan ga ikutan banjir,eyewitness
Banjir ,eyewitness
Banjir dah,eyewitness
Pantesan kucing gue diem aja ternyata banjir dia takut airkan biasanya ngeong mulu ,eyewitness
