text,class_label
masiii rumah nenek aku msh banjir,eyewitness
kelantan dan terengganu dah banjir,eyewitness
depan rumah dh banjir huhu,eyewitness
mantap banjir lagi,eyewitness
rumah aku x banjir,eyewitness
ayuh main banjir haaha,eyewitness
banjir sis,eyewitness
ini cipinang banjir,eyewitness
banjir dong,eyewitness
ni punca banjir mungkin,eyewitness
banjir dah kapung bosku,eyewitness
pata timu dah mula banjir ka,eyewitness
banjir selutut orang dewasa,eyewitness
wih banjir an,eyewitness
tiati banjir,eyewitness
hujan jugaa banjiiir jugaa,eyewitness
banjir woe banjir,eyewitness
masih banjir,eyewitness
banjir dh gais,eyewitness
jangan banjir lagi aku nk balik cemana,eyewitness
hujan lebat gais banjir disini huhu,eyewitness
banjir woiiii hujan tak berhenti dari semalam,eyewitness
uih kampung aku dah banjir,eyewitness
banjir karena hujan deres kagak berhentj berhenti,eyewitness
banjir sudahhhh,eyewitness
rumah dah banjir geng,eyewitness
baru selesai beresin banjir,eyewitness
hahahahah banjir dh gang ni,eyewitness
banjir datang lagi,eyewitness
banjir banjir banjirr,eyewitness
alhamdulillah bantuan banjir dah ada,eyewitness
banjir sudah banjir,eyewitness
lagi musim hujan dan sekarang banjir,eyewitness
malang banjir,eyewitness
ujannya baru berapa jam udah banjir aja cepet amat banjirnya,eyewitness
terjebak banjir di timur stadion maguwo,eyewitness
alamak kampung dh banjir,eyewitness
orang lain keluar dari area banjir saya otw masuk kawasan banjir,eyewitness
depan rumah pun banjir gimana inih,eyewitness
anjir banjir lagi,eyewitness
hm kmpung dah start banjir dh,eyewitness
tempat saya banjir jakarta babay min,eyewitness
disini masih banjir ka,eyewitness
nah kalo kosan banjir gini kan enak jadi ada kerjaan gitu daripada tidur,eyewitness
takutnya banjir,eyewitness
lah kok banjir,eyewitness
jadi korban banjir,eyewitness
yak rumah banjir,eyewitness
banjir di jakarta,eyewitness
banjir mba di kandang rusa itulo udah segitu huhu,eyewitness
ngepel kamar yang banjir,eyewitness
banjir kita banjir sudah,eyewitness
tangerang banjir,eyewitness
kan banjir trus liwat mane,eyewitness
banjir wooooiii,eyewitness
margonda banjir pak,eyewitness
siang panas malam banjir,eyewitness
oalah tiati banjir,eyewitness
yuhuuu udah banjir lagi aja nih perum,eyewitness
banjir udah heheheh,eyewitness
ciledug banjir,eyewitness
iya jir awet pada banjir jalanan untung rumah gua ga,eyewitness
nggak enak kena banjir,eyewitness
selamat tahun baru kepada aku yg menangani banjir kontrakan di pagi hari,eyewitness
banjir mlh,eyewitness
baru kali ini ujan semaleman trs banjir udah masuk ke rumah,eyewitness
pdhl lagi banjir,eyewitness
hujannya awet banget rumah kena banjir,eyewitness
mantappp awal tahun banjir cok,eyewitness
beberes rumah kerendem banjir,eyewitness
banjir bray,eyewitness
banjir,eyewitness
kost banjir fyi,eyewitness
yak tahun baru diwarnai dengan banjir terparah sepanjang sejarah rumah,eyewitness
kalo banjir sampe seperut gini nyalahin siapa y,eyewitness
tetap nge bid walau banjir seleher,eyewitness
pamulang udh mulai banjir di jalanannya bg ene moga ga masuk rumah ya,eyewitness
iyaa udah banjir malahan,eyewitness
rumah gue udah banjir,eyewitness
semoga baik aja yang kena banjir,eyewitness
sama nder lg banjir jg,eyewitness
banjir banjir ulala,eyewitness
aku dicikarang banjir,eyewitness
bersihin rumah dari banjir min,eyewitness
gimana mau berangkat ini kalo dimana banjir,eyewitness
woi balik lu ponbar belakang banjir daleman tuh,eyewitness
banjir banjir banjir datang lagi sayang,eyewitness
woy ini banjir,eyewitness
oke ternyata realisasi nya lebih liar depan kosan udah banjir,eyewitness
yaallah pagi baru bangun kaget rumah tiba udh mau kemasukan air banjir,eyewitness
ini semuanya pada apdet banjir meanwhile di sini ngga ujan samsek bruuh,eyewitness
banjir pokoknyaaa wkwkw,eyewitness
jalan raya banjir,eyewitness
udh banjir mati lampu pula,eyewitness
hujan deras banjir mati lampu pula,eyewitness
alhamdulillah kita dikasih ngerasain banjir diawal taun,eyewitness
ya allah semoga tidak banjir,eyewitness
gabisa nonton rumah banjir coy sedi bat,eyewitness
pusing anj banjir,eyewitness
banjir,eyewitness
banjir bangetttt ini masuk rumah,eyewitness
om om tolong ini banjir,eyewitness
ujannya makin gede njir banjir,eyewitness
banjir u jgn berenang y ra,eyewitness
wedeh jekardah banjir,eyewitness
banjir dong depan rumag gua ujan dari kmrn sore gua tidur kebocoran,eyewitness
tahun baruku di sambut oleh banjir,eyewitness
belom tidur ehh malah banjir perumahan gue terus aing kudu piye,eyewitness
ujannya kaya gini sih jakarta auto banjir,eyewitness
aamin rumahku juga banjir,eyewitness
semoga lekas surut banjir airnya yaak,eyewitness
semoga hujan cepat reda dan banjir cepat suruh,eyewitness
banjir lagi dah wkwkwkw,eyewitness
wkwkwkwk belom tidur ni grgr banjir,eyewitness
nih jekardah banjir,eyewitness
lah kamar gue banjir,eyewitness
scratch that ga jadi kerja gara gara banjir,eyewitness
banjir sumpa,eyewitness
rumah gue bekasi timur banjir bandang,eyewitness
yummm rumah gue kemasukan banjir pdhl biasanya engga hujan di sana awet bgt ga sih,eyewitness
waaahh banjir juga,eyewitness
mengawali tahun baru dengan banjir,eyewitness
rumah gue banjir,eyewitness
banjirrrr banjir btw dingin ya,eyewitness
waduhh waduhh banjir dah nihh banjirr dahhh,eyewitness
pertama kali merasakan banjir jakarta tahun,eyewitness
daerah rumah gua banjir,eyewitness
banjir gais,eyewitness
banjir didepan udah meter ya allah,eyewitness
paraahhh banjir parah,eyewitness
banjir pak,eyewitness
rumah gw banjir asu,eyewitness
banjir gini kepikiran nasi uduk jadi laper,eyewitness
banjir gaesss,eyewitness
rumah aku uda kemasukan banjir tinggi bgt soalnya grgr ujan gaberenti huee,eyewitness
jadi hujan yang menyebabkan banjir sekarang adalah yang terburuk setelah lebih dari tahun lalu,eyewitness
bekasi banjir dimana mana hiks,eyewitness
bli banjir bli disini,eyewitness
eh eh eh kok mulai banjir lagi sih dimana mana,eyewitness
kali kayuringin banjir para gais jadinya macem gor gitu gitu tenggelem se pinggang,eyewitness
hujan deras mengakibatkan banjir,eyewitness
kerumah gw aja gratis mumpung lgi banjir,eyewitness
banjir sis,eyewitness
korban banjir di awal tahun malah banyak ya termasuk rumah ini,eyewitness
rumahku banjir rumah kalian banjir gk nih,eyewitness
wew bangun depan rumah banjir mati lampu,eyewitness
kenapa banjir sih,eyewitness
ya allah semoga daerah kosan ga ikutan banjir,eyewitness
banjir,eyewitness
banjir dah,eyewitness
pantesan kucing gue diem aja ternyata banjir dia takut airkan biasanya ngeong mulu,eyewitness
banjir banjir banjir datang lagi sayanggggggg,eyewitness
bener kan tuh kostan gue banjir ah sinting bagaimana nasib barang bucin gue,eyewitness
berdoa makanya biar ga banjir,eyewitness
gegara banjir langsung radasss,eyewitness
jangan sampai banjir,eyewitness
kelelep banjir,eyewitness
sudirman dah banjir wakakak dah lah aku ngakak wae,eyewitness
tahun baru banjir,eyewitness
