text,class_label
iya gempa,eyewitness
gempa btw,eyewitness
pantesan goyang goyang gempa ternyata,eyewitness
tak pikir ngimpi jebul gempa tenan,eyewitness
ada gempa pas di kantor ngerasain goncangan dulu lihat lihatan ama teman sebelah baru saling tanya gempa ya pas mau lari gempanya udahan abis itu pasti ada telepon dari bella halo pik gempaaa semoga aman semua,eyewitness
eh berarti bner gempa soalnya lagi tidur sama murid q kok berasa goyang tapi kecil n sebentar,eyewitness
gue kliyengan kirain gempa ternyata,eyewitness
sempet ngira ada sesuatu yg iseng nggoyangin kasur gara adem bilang ga ngerasa gempa,eyewitness
baru pertama kerasa gempa di kantor lantai bingung karepnya dewe,eyewitness
woi jogja gempa ya shdhhdhehd,eyewitness
ternyata beneran gempa aku kira vertigo kumat,eyewitness
gue kira darah rendah euy ternyata gempa bentar,eyewitness
lah beneran gempa ternyata kirain kakiku yg goyang goyang,eyewitness
untuk pertama kalinya ada sms info gempa,eyewitness
oalah tadi gempa to kirain mergo aku munyeng dadi serasa goyang,eyewitness
tak pikir aku mumet karna akeh kerjaan ternyata gempa,eyewitness
yaudah berarti tadi gua ga haluuu pas w tanya pada bilang kaga ada gempa,eyewitness
sumpah gais gempa gais barusan gais lumayan gede kerasa kasur di goyang goyang,eyewitness
tuhkan beneran gempa,eyewitness
kerasa sampe jogja aku kira diriku halu ternyata gempa beneran,eyewitness
iya mas tp ga kerasa banget aku kira aku yg gemeteran krn blm makan mau bikin story gempa takut dikira halu,eyewitness
hue aku jg gabegitu ngeh itu gempa kalo bukan temenku yang teriakkkk,eyewitness
iyaa gempa kak di daerah pacitan,eyewitness
anjir aku kira angin ternyata beneran gempa,eyewitness
kaget loh lagi kelas di labkom lagi ngobrolin engsiti kok goyang kirain ada yg ngegoyangin meja komputer ternyata gempa lumayan lama lagi ada kali detik,eyewitness
ternyata gempa,eyewitness
gempa woeeeeee,eyewitness
nahiya soalnya di kos kok ga pd panik bentar jg jd yaudahlah eh gempa beneran ternyata,eyewitness
wah gila gw lagi instastory nyoba efek tbtb bergetar mantep gw kira tmn gue becanda taunya beneran gempa,eyewitness
huee gempa tnanan,eyewitness
padahal di selasar lantai bawah udah heboh pd teriak gempa gempa tetep aja yg di atas tenang tenang aja,eyewitness
oh beneran gempa kirain gua yang pusing,eyewitness
gua kira tadi cuma pusing ampe kerasa goyang ternyata beneran gempa,eyewitness
tiap dpt notif gempa via bmkg udah gabisa tidur siang dan kurang jam tidur jam malam per dua minggu sepanik itu,eyewitness
tak kiro tremorku kumat eh jebul gempa,eyewitness
gempa anjer w takud,eyewitness
barusan kerasa gempa,eyewitness
abis ngomong mantan sama kok malah gempa pantangan nih sepertinya,eyewitness
barusan gempa kan,eyewitness
oh beneran gempa,eyewitness
gempa yaa,eyewitness
gempaa yang aku lakukan setelah gempa adalah update,eyewitness
digoyang di lante hemm gempa,eyewitness
di rs jih lantai tiba tiba kerasa gempa apa yang harus saya lakukan liat keluar suster pada santai yaudah liat di twitter kan yaa ada info gempa gak ternyata udah ramai,eyewitness
seru bgt ada gempa pas lg kls di lantai wkw,eyewitness
lagi tiduran tiba tiba terasa ada hal yang aneh gataunya gempa,eyewitness
kan beneran gempa tp orang di sekitarku diem aja jadinya ikut diem,eyewitness
hmmm gempa,eyewitness
dijogja bener sering ngerasa gempa,eyewitness
beneran gempa,eyewitness
oalah beneran gempa,eyewitness
aku di trenggalek kerasa dikit kukira emang aku yg lagi ndredek gempa beneran ya,eyewitness
