text,class_label
ini titik kebakaran hutan tahun lalu yg bikin sumatera wkt itu kabut asap parah dan hujan debu,eyewitness
kirain ngawur lihat jendela beneran kabut ternyata asap kebakaran hutan kah atau gimana nih,eyewitness
musim kabut asap coming soon rt beritariau riau mulai diselimuti asap dari kebakaran hutan,eyewitness
riau mulai diselimuti asap dari kebakaran hutan kebakaran hutan dan lahan karhutla di riau mulai memicu kabut,eyewitness
semakin panas dan hujan belum juhga turun harus segera antisipasi kebakaran hutan n lahan bila tdk kabut asap datang lagi spt tahun lalu,eyewitness
sungai rokan hulu riau februari kabut asap hasil kebakaran lahan dan hutan begitu pekat,eyewitness
jarak pandang di bengkalis riau hanya mencapai meter dikarenakan kabut asap dari kebakaran hutan dan lahan infoterkini,eyewitness
udah beberapa hari ini bandar kebi di selimuti kabut asap kebakaran hutan siapa yg bakar hutan indonesia,eyewitness
kabut asap akibat kebakaran hutan membuat kota yang dulunya bagus menjadi penuh sesak belum lagi masalah pemanasan global,eyewitness
palangkaraya kabut asap oleh musim kemarau dan banyak hutan yang kebakaran kasian anak skolah nanti jika kematau panjang,eyewitness
lagi lagi riau dikepung kabut asap bgmn penanganan kebakaran hutan di riau kita lagi ngobrolin ini di kbrpagi,eyewitness
pagi ini jarak pandang di dumai hanya meter kabut asap akibat kebakaran hutan dan lahan karhutla yang,eyewitness
jiaaann pokoke nek ketigo mesti kabut asap wis kebakaran hutan to mosok lebaran pake maske,eyewitness
pekan baru riau penuh dgn asap kebakaran hutan aparat jga lalai menangani masalah asap ini jadi ny kabut asap jd tambah parah,eyewitness
kebakaran hutan lagi dasar orang yg tidak bertanggung jawab jangan sampai ada jerebu kabut asap lagi untk ke kalinya,eyewitness
kebakaran hutan riau semakin memperparah kabut asap,eyewitness
kebakaran hutan kabut asap dan bencana kekeringan yang melanda banyak daerah di indonesia termasuk sumatera adalah ancaman,eyewitness
mataharinya malu malu karna tertutup kabut asap akibat kebakaran hutan di musim kemarau foto ini,eyewitness
kabut asap palangkaraya kalimantan selatan kabut asap meyelimutinya akibat kebakaran hutan,eyewitness
tiap hari kebakaran hutan kabut asap gak hilang,eyewitness
kebakaran hutan dan kabut asap pun kembali lagi jalan lurus palembang indralaya,eyewitness
kebakaran hutan mengakibatkan pekatnya kabut asap terutama di palangkaraya elnino,eyewitness
di pekanbaru dan pelalawan asap makin pekat pekanbaru ketebalan kabut asap akibat kebakaran lahan dan hutan,eyewitness
ketika air mulai susah didapet asap kabut tebal tiap pagi kebakaran hutan dimana tanda summer indonesia dimulai,eyewitness
